ticker,construction_date,expiry,dte_bucket,dte,spot,S_T,method,q2p5,q16,q50,q84,q97p5,tail_clip,status,regime_vol,regime,cov68,cov95,winkler68,winkler95,crps,pit,crps_truncated
SPY,2025-04-16,2025-05-16,30,30,525.66,594.2,bl,396.5217267736101,407.051890979279,545.6990530205854,609.7575519384044,669.4284824371946,False,ok,0.5051824242315219,high,1.0,1.0,202.7056609591254,272.9067556635845,36.82003043233664,0.5873257400360528,False
SPY,2025-05-09,2025-05-16,7,7,564.34,594.2,atm_iv_normal,532.8173219070862,548.2177142578228,564.5806311304802,580.4622857421773,595.8626780929138,False,ok,0.25917064031803877,high,0.0,1.0,118.1052855957467,63.045356185827586,21.365338844383807,0.970008431741668,False
SPY,2025-05-09,2025-05-16,7,7,564.34,594.2,bl,492.21126937289677,514.6519635353765,576.5154987941047,595.3171614707769,643.8375812815441,False,ok,0.25917064031803877,high,1.0,1.0,80.66519793540044,151.62631190864732,14.44101478174216,0.8213506995884963,False
QQQ,2024-12-18,2025-01-17,30,30,516.47,521.74,atm_iv_normal,435.47221729856756,475.04365312216817,515.8516963152563,557.8963468778319,597.4677827014325,False,ok,0.18132766399866068,low,1.0,1.0,82.85269375566372,161.99556540286494,9.930838469406863,0.5569346266235126,False
QQQ,2024-12-18,2025-01-17,30,30,516.47,521.74,bl,470.8906230170455,475.51198176777666,494.65761087794857,556.055662851948,684.7935137651725,True,ok,0.18132766399866068,low,1.0,1.0,80.54368108417134,213.902890748127,13.24631757660981,0.6328202233158023,False
QQQ,2025-01-10,2025-01-17,7,7,507.19,521.74,atm_iv_normal,475.94679826873517,491.21065254965845,507.42849772313946,523.1693474503415,538.4332017312648,False,ok,0.2160606678153629,mid,1.0,1.0,31.9586949006831,62.486403462529665,8.99414843919942,0.8244526059380562,False
QQQ,2025-01-10,2025-01-17,7,7,507.19,521.74,bl,470.33492023674,485.85720779984916,497.0014142554148,554.314476026895,569.040748843178,False,ok,0.2160606678153629,mid,1.0,1.0,68.45726822704586,98.70582860643799,16.62055604622721,0.7407105922266529,False
QQQ,2025-01-22,2025-02-21,30,30,531.51,526.08,atm_iv_normal,480.77831125421574,505.56325842772867,531.1227352004139,557.4567415722713,582.2416887457842,False,ok,0.18649669910221803,low,1.0,1.0,51.89348314454264,101.46337749156851,6.45076131693492,0.42238491764063435,False
QQQ,2025-01-22,2025-02-21,30,30,531.51,526.08,bl,462.5805515262191,509.3837648805528,536.5411849750427,556.1869782348864,600.6789217939445,False,ok,0.18649669910221803,low,1.0,1.0,46.80321335433359,138.0983702677254,8.536144400904316,0.3660724788265184,False
QQQ,2025-02-14,2025-02-21,7,7,538.15,526.08,atm_iv_normal,519.5984856083078,528.6618208836383,538.291614613677,547.6381791163617,556.7015143916922,False,ok,0.17351838251273138,low,0.0,1.0,35.11273875546229,37.10302878338439,7.56430029294161,0.10264457734233351,False
