ticker,construction_date,expiry,dte_bucket,dte,spot,S_T,method,q2p5,q16,q50,q84,q97p5,tail_clip,status,regime_vol,regime,cov68,cov95,winkler68,winkler95,crps,pit,crps_truncated
SPY,2024-12-18,2025-01-17,30,30,586.28,597.58,atm_iv_normal,529.824609124439,557.4058687888353,586.7109571822562,615.1541312111647,642.7353908755609,False,ok,0.1259215439747388,mid,1.0,1.0,57.74826242232939,112.91078175112193,8.502837996455785,0.6588422484779993,False
SPY,2024-12-18,2025-01-17,30,30,586.28,597.58,bl,526.4934863685893,529.4985861766293,549.3322449096925,679.1525566170159,724.8300736992222,True,ok,0.1259215439747388,mid,1.0,1.0,149.65397044038662,198.33658733063294,25.844183525726862,0.6045357913341505,False
SPY,2024-12-18,2025-01-17,30,30,586.28,597.58,corrected,523.5613154745357,574.4103678541643,594.184999335131,612.5471571388857,635.8529728128822,False,ok,0.1259215439747388,mid,1.0,1.0,38.13678928472143,112.29165733834645,4.766688473650873,0.5814607139515118,False
SPY,2025-01-10,2025-01-17,7,7,580.49,597.58,atm_iv_normal,554.0966663243936,566.9911194178196,580.6914758295848,593.9888805821804,606.8833336756064,False,ok,0.15942146706468113,high,0.0,1.0,49.44225752573354,52.78666735121283,10.841898441584501,0.9015769096939533,False
SPY,2025-01-10,2025-01-17,7,7,580.49,597.58,bl,522.3525798443806,527.0549286501814,596.4145735357442,615.6158311594312,629.3310151763503,True,ok,0.15942146706468113,high,1.0,1.0,88.56090250924979,106.97843533196976,10.802338532543684,0.5257681808888639,False
SPY,2025-01-10,2025-01-17,7,7,580.49,597.58,corrected,561.704260651629,570.5012531328321,579.624060150376,592.0050125313284,609.9248120300751,False,ok,0.15942146706468113,high,0.0,1.0,56.347431077694296,48.22055137844609,11.482456290210466,0.9105855306715317,False
SPY,2025-01-22,2025-02-21,30,30,606.44,599.94,atm_iv_normal,565.5532693741347,585.5284660157788,606.1278875524744,627.3515339842213,647.3267306258654,False,ok,0.1394260013650334,high,1.0,1.0,41.8230679684425,81.77346125173062,5.576337843238486,0.3828006239243248,False
SPY,2025-01-22,2025-02-21,30,30,606.44,599.94,bl,525.8449555305868,530.3082160227052,624.67429499892,662.2932048610596,722.8660258255219,False,ok,0.1394260013650334,high,1.0,1.0,131.9849888383544,197.02107029493504,19.51529899564389,0.3700626238123442,False
SPY,2025-01-22,2025-02-21,30,30,606.44,599.94,corrected,589.9122807017544,596.6666666666666,602.8070175438596,618.1578947368421,647.6315789473684,False,ok,0.1394260013650334,high,1.0,1.0,21.491228070175453,57.71929824561403,2.8530613645834713,0.36404195626231545,False
SPY,2025-02-14,2025-02-21,7,7,609.7,599.94,atm_iv_normal,590.1660050100032,599.7093308066429,609.5508855344276,619.6906691933572,629.2339949899969,False,ok,0.10896041250572311,low,1.0,1.0,19.981338386714242,39.06798997999363,6.008689839779381,0.16622798210727882,False
SPY,2025-02-14,2025-02-21,7,7,609.7,599.94,bl,542.4514172056236,596.4394729464675,603.244690056658,634.548688763534,657.6864269381814,False,ok,0.10896041250572311,low,1.0,1.0,38.109215817066456,115.23500973255784,6.375032182771512,0.17036197479101578,False
SPY,2025-02-14,2025-02-21,7,7,609.7,599.94,corrected,602.5563909774436,604.812030075188,607.0676691729324,614.2857142857142,631.4285714285714,False,ok,0.10896041250572311,low,0.0,0.0,39.92387218045076,133.52781954886905,6.298781677583069,0.007780694551063367,False
SPY,2025-02-19,2025-03-21,30,30,612.93,563.98,atm_iv_normal,568.5332798131769,590.2232805151363,613.268906260968,635.6367194848636,657.326720186823,False,ok,0.10409382384478207,low,0.0,0.0,209.43394218932886,270.9246329007226,36.257044510221256,0.015510517469866144,False
SPY,2025-02-19,2025-03-21,30,30,612.93,563.98,bl,535.8699375673377,541.8361008398485,634.0404423241071,653.5660675795971,659.5322308521079,False,ok,0.10409382384478207,low,1.0,1.0,111.72996673974853,123.66229328477016,36.9484182162469,0.21141468945284567,False
SPY,2025-02-19,2025-03-21,30,30,612.93,563.98,corrected,555.1051468046999,597.6472271941295,621.4044928661488,634.1118675279264,645.1617585381679,False,ok,0.10409382384478207,low,0.0,1.0,246.8848102971063,90.056611733468,41.75580303029609,0.038163610950598906,False
SPY,2025-03-14,2025-03-21,7,7,562.81,563.98,atm_iv_normal,529.5299601113493,545.7889108966442,562.5559538939797,579.8310891033557,596.0900398886506,False,ok,0.1975948057863651,high,1.0,1.0,34.04217820671147,66.56007977730133,4.015929380648936,0.5335871688120853,False
SPY,2025-03-14,2025-03-21,7,7,562.81,563.98,bl,488.88030727899366,493.5798808381803,570.580586077161,611.0692198178456,620.4683669362188,True,ok,0.1975948057863651,high,1.0,1.0,117.48933897966526,131.58805965722513,11.200963167298454,0.4332320326901194,False
SPY,2025-03-14,2025-03-21,7,7,562.81,563.98,corrected,519.5823025884634,548.349045182884,567.943782892127,578.7834250291551,584.2032460976691,False,ok,0.1975948057863651,high,1.0,1.0,30.4343798462711,64.62094350920563,3.819884233061795,0.41019856021719214,False
SPY,2025-03-18,2025-04-17,30,30,561.02,526.41,atm_iv_normal,499.62959845239175,529.6218556970248,560.5513709805526,592.4181443029752,622.4104015476082,False,ok,0.1965585061445371,high,0.0,1.0,82.8703867123555,122.78080309521647,21.140143370720207,0.13665651030131745,False
SPY,2025-03-18,2025-04-17,30,30,561.02,526.41,bl,428.60141244222893,488.89480018871694,550.9615228689252,680.4149730305022,696.3749874339843,False,ok,0.1965585061445371,high,1.0,1.0,191.52017284178527,267.77357499175537,27.90377663526662,0.4276932573694784,False
SPY,2025-03-18,2025-04-17,30,30,561.02,526.41,corrected,500.1346102907157,536.7811747329968,565.3833713708747,591.3041120739515,619.9063087118294,False,ok,0.1965585061445371,high,0.0,1.0,119.34277942218469,119.77169842111368,24.809344243771523,0.09429606628646064,False
SPY,2025-04-10,2025-04-17,7,7,524.58,526.41,atm_iv_normal,456.7933212739365,489.9104772927767,525.0974555627944,559.2495227072234,592.3666787260635,False,ok,0.5035206731001075,high,1.0,1.0,69.33904541444667,135.57335745212697,8.122703265252087,0.527192631056548,False
SPY,2025-04-10,2025-04-17,7,7,524.58,526.41,bl,382.75317472974024,454.02937114123745,537.1849336213176,627.4681157425474,651.2268478797131,True,ok,0.5035206731001075,high,1.0,1.0,173.43874460130996,268.47367314997285,16.283646671022055,0.4314329958587048,False
SPY,2025-04-10,2025-04-17,7,7,524.58,526.41,corrected,434.5864661654135,515.7142857142857,533.3082706766917,541.1278195488721,552.8571428571429,False,ok,0.5035206731001075,high,1.0,1.0,25.413533834586474,118.27067669172936,4.184129759312715,0.2974776047964985,False
SPY,2025-04-16,2025-05-16,30,30,525.66,594.2,atm_iv_normal,440.3760421724929,482.0414872179925,526.3110225788358,569.2785127820073,610.9439578275069,False,ok,0.5051824242315219,high,0.0,1.0,242.99632067646957,170.56791565501402,47.061895090748564,0.9449982157337756,False
SPY,2025-04-16,2025-05-16,30,30,525.66,594.2,bl,396.5217267736101,407.051890979279,545.6990530205854,609.7575519384044,669.4284824371946,False,ok,0.5051824242315219,high,1.0,1.0,202.7056609591254,272.9067556635845,36.82003043233664,0.5873257400360528,False
SPY,2025-04-16,2025-05-16,30,30,525.66,594.2,corrected,430.8346316713712,495.01095087635167,532.1656619950245,565.942672102909,603.0973832215818,False,ok,0.5051824242315219,high,0.0,1.0,247.54002058337636,172.26275155021062,44.86904176990621,0.9612427582536511,False
SPY,2025-05-09,2025-05-16,7,7,564.34,594.2,atm_iv_normal,532.8173219070862,548.2177142578228,564.5806311304802,580.4622857421773,595.8626780929138,False,ok,0.25917064031803877,high,0.0,1.0,118.1052855957467,63.045356185827586,21.365338844383807,0.970008431741668,False
SPY,2025-05-09,2025-05-16,7,7,564.34,594.2,bl,492.21126937289677,514.6519635353765,576.5154987941047,595.3171614707769,643.8375812815441,False,ok,0.25917064031803877,high,1.0,1.0,80.66519793540044,151.62631190864732,14.44101478174216,0.8213506995884963,False
SPY,2025-05-09,2025-05-16,7,7,564.34,594.2,corrected,545.7142857142858,552.781954887218,562.2055137844611,576.3408521303259,599.3107769423559,False,ok,0.25917064031803877,high,0.0,1.0,135.1785714285715,53.596491228070136,23.365044699526102,0.9633504425484002,False
SPY,2025-05-21,2025-06-20,30,30,582.86,594.28,atm_iv_normal,526.6243522216573,554.0982564797789,582.4307202459669,611.6217435202211,639.0956477783427,False,ok,0.166042753056436,high,1.0,1.0,57.523487040442205,112.47129555668539,8.739568344667633,0.6609525835897184,False
